Date,Open,High,Low,Close,Volume,Adj Close
2016-05-13,19.25,19.25,18.71,18.76,10196700,18.76
2016-05-12,18.97,19.26,18.81,19.18,23591900,19.18
2016-05-11,19.20,19.21,18.81,18.86,10657200,18.86
2016-05-10,19.10,19.11,18.81,19.09,12276100,19.09
2016-05-09,18.78,19.06,18.60,18.89,18522300,18.89
2016-05-06,19.09,19.25,18.82,18.84,11022900,18.84
2016-05-05,19.58,19.59,19.11,19.14,11528900,19.14
2016-05-04,19.28,19.62,19.09,19.60,19044400,19.60
2016-05-03,19.37,19.71,19.21,19.59,14425300,19.59
2016-05-02,19.35,19.59,19.35,19.51,10854600,19.51
2016-04-29,19.33,19.53,19.08,19.39,23867000,19.39
2016-04-28,19.33,19.53,19.26,19.46,12272300,19.46
2016-04-27,19.33,19.43,19.17,19.36,17990800,19.36
2016-04-26,19.21,19.25,19.06,19.24,13162400,19.24
2016-04-25,19.20,19.23,19.05,19.13,5665400,19.13
2016-04-22,18.86,19.45,18.86,19.16,12394900,19.16
2016-04-21,19.20,19.20,19.20,19.20,000,19.20
2016-04-20,19.01,19.28,19.01,19.20,13665600,19.20
2016-04-19,19.00,19.29,18.82,19.16,10831300,19.16
2016-04-18,18.99,19.12,18.80,18.96,13475900,18.96
2016-04-15,18.78,19.05,18.69,18.99,14996000,18.99
2016-04-14,18.39,18.84,18.35,18.74,16442600,18.74
2016-04-13,18.56,18.71,18.37,18.39,19978500,18.39
2016-04-12,18.22,18.45,18.15,18.37,10907300,18.37
2016-04-11,18.70,18.71,18.20,18.20,14547000,18.20
2016-04-08,18.82,18.96,18.40,18.57,17390600,18.57
2016-04-07,18.70,18.95,18.55,18.57,8040700,18.57
2016-04-06,18.56,18.73,18.45,18.58,6627200,18.58
2016-04-05,18.49,18.87,18.40,18.79,7890300,18.79
2016-04-04,18.70,18.73,18.46,18.58,8577800,18.58
2016-04-01,18.53,18.99,18.53,18.86,14941100,18.86
2016-03-31,18.91,19.05,18.60,18.82,16760300,18.82
2016-03-30,19.50,19.50,19.12,19.15,11047600,19.15
2016-03-29,19.32,19.57,19.26,19.34,20856500,19.34
2016-03-28,19.15,19.37,19.07,19.30,12398500,19.30
2016-03-25,19.00,19.00,19.00,19.00,000,19.00
2016-03-24,18.89,19.20,18.84,19.00,21128700,19.00
2016-03-23,18.64,19.09,18.60,19.00,19093200,19.00
2016-03-22,18.70,18.74,18.49,18.74,10495100,18.74
2016-03-21,18.32,18.78,18.32,18.73,14963100,18.73
2016-03-18,18.79,18.89,18.37,18.42,27248900,18.42
2016-03-17,18.70,18.74,18.32,18.73,26830900,18.73
2016-03-16,18.18,18.30,17.87,18.29,12644400,18.29
2016-03-15,17.90,18.30,17.80,18.30,12363100,18.30
2016-03-14,18.25,18.34,17.92,18.04,11003000,18.04
2016-03-11,18.52,18.78,18.04,18.22,22639400,18.22
2016-03-10,18.77,18.97,18.24,18.63,28065400,18.63
2016-03-09,19.24,19.25,18.58,18.65,21459800,18.65
2016-03-08,19.19,19.22,18.84,19.05,23245800,19.05
2016-03-07,19.20,19.39,18.94,19.17,17079300,19.17
2016-03-04,18.79,19.20,18.61,19.11,37209600,19.11
2016-03-03,18.27,18.59,18.15,18.44,21509400,18.44
2016-03-02,18.30,18.38,17.95,18.14,16032100,18.14
2016-03-01,17.78,18.39,17.67,18.25,17549200,18.25
2016-02-29,17.90,17.99,17.51,17.64,15340300,17.64
2016-02-26,17.89,17.93,17.51,17.63,9258400,17.63
2016-02-25,17.68,17.85,17.47,17.71,15404600,17.71
2016-02-24,18.06,18.18,17.85,18.18,10037500,18.18
2016-02-23,18.65,18.65,18.10,18.26,11394800,18.26
2016-02-22,18.66,18.82,18.44,18.59,14696300,18.59
2016-02-19,18.25,18.39,18.11,18.32,6644100,18.32
