Date,Open,High,Low,Close,Volume,Adj Close
2016-05-13,18.75,18.85,18.42,18.66,2278200,18.66
2016-05-12,19.16,19.47,18.75,18.86,2610700,18.86
2016-05-11,19.87,20.04,19.18,19.18,1796400,19.18
2016-05-10,19.52,19.76,19.20,19.66,3000700,19.66
2016-05-09,19.12,19.90,18.98,19.43,3299400,19.43
2016-05-06,19.91,20.14,19.15,19.15,2389200,19.15
2016-05-05,20.10,20.24,19.77,19.92,3812000,19.92
2016-05-04,20.43,20.44,19.97,20.11,2111500,20.11
2016-05-03,20.10,20.54,20.00,20.25,2773900,20.25
2016-05-02,20.50,20.50,19.83,20.20,3399200,20.20
2016-04-29,21.59,21.94,19.42,20.57,9195500,20.57
2016-04-28,22.10,22.11,21.21,21.40,1914300,21.40
2016-04-27,21.80,22.10,21.74,21.97,1482200,21.97
2016-04-26,21.55,21.73,21.32,21.73,1469900,21.73
2016-04-25,21.87,21.87,21.31,21.35,1225700,21.35
2016-04-22,21.67,21.99,21.54,21.72,1382000,21.72
2016-04-21,21.90,21.90,21.90,21.90,000,21.90
2016-04-20,21.67,22.08,21.46,21.90,1927800,21.90
2016-04-19,22.27,22.41,21.65,21.65,1768300,21.65
2016-04-18,22.40,22.50,21.95,22.27,1465400,22.27
2016-04-15,22.19,22.50,21.99,22.30,1911000,22.30
2016-04-14,21.70,22.09,21.39,21.82,2078500,21.82
2016-04-13,21.26,22.04,21.24,21.39,2549900,21.39
2016-04-12,21.20,21.60,20.94,21.08,2037400,21.08
2016-04-11,22.42,22.87,20.98,21.06,1787300,21.06
2016-04-08,23.35,23.35,22.11,22.19,2876000,22.19
2016-04-07,22.55,22.96,22.45,22.71,1716600,22.71
2016-04-06,22.63,22.87,22.32,22.32,1634500,22.32
2016-04-05,23.17,23.24,22.79,22.99,1097000,22.99
2016-04-04,23.38,23.38,22.89,23.14,975200,23.14
2016-04-01,23.60,23.83,23.20,23.42,1940200,23.42
2016-03-31,23.98,23.98,23.42,23.85,2373700,23.85
2016-03-30,24.13,24.15,23.81,24.00,1289800,24.00
2016-03-29,23.63,24.15,23.60,24.06,1767500,24.06
2016-03-28,23.80,23.98,23.39,23.51,1181400,23.51
2016-03-25,23.66,23.66,23.66,23.66,000,23.66
2016-03-24,23.17,23.68,23.16,23.66,1414600,23.66
2016-03-23,23.50,23.78,23.08,23.37,1579400,23.37
2016-03-22,23.10,23.44,22.91,23.44,1901800,23.44
2016-03-21,22.78,23.15,22.77,23.05,1605000,23.01
2016-03-18,22.79,22.89,22.50,22.75,2869800,22.71052
2016-03-17,22.56,23.11,21.92,22.68,6652400,22.64064
2016-03-16,23.47,23.64,23.23,23.42,2234700,23.37936
2016-03-15,22.55,23.43,22.55,23.42,4072000,23.37936
2016-03-14,22.57,22.92,22.18,22.53,2128600,22.4909
2016-03-11,22.20,22.59,22.00,22.50,3294400,22.46096
2016-03-10,23.55,23.88,21.91,21.96,7634900,21.92189
2016-03-09,23.82,24.23,23.16,23.42,2765100,23.37936
2016-03-08,24.15,24.24,23.12,23.65,3658700,23.60896
2016-03-07,23.80,24.25,23.39,23.98,3106300,23.93839
2016-03-04,25.03,25.03,21.40,23.07,9693400,23.02997
2016-03-03,29.00,29.00,24.70,25.03,9172000,24.98657
2016-03-02,29.74,29.86,28.93,29.10,2584300,29.0495
2016-03-01,30.19,30.58,29.63,29.70,2056100,29.64846
2016-02-29,30.49,30.49,29.64,30.20,2355400,30.14759
2016-02-26,29.00,30.28,28.80,29.71,2941900,29.65844
2016-02-25,29.54,30.20,29.24,30.20,977700,30.14759
2016-02-24,29.30,29.72,28.78,29.52,1072200,29.46877
2016-02-23,30.12,30.58,29.51,29.51,1203800,29.45879
2016-02-22,30.20,30.28,29.65,30.13,1881200,30.07771
2016-02-19,29.90,30.25,29.31,29.36,867000,29.30905
2016-02-18,29.27,30.29,29.14,30.03,1338100,29.97789
2016-02-17,29.50,29.86,28.91,29.49,1942400,29.43882
2016-02-16,28.59,29.50,28.42,29.49,1809700,29.43882
2016-02-15,28.20,28.70,28.13,28.37,612700,28.32077
2016-02-12,27.69,28.35,27.40,28.20,1189400,28.15106
2016-02-11,28.38,28.53,27.08,27.50,1799300,27.45228
2016-02-10,27.80,28.70,27.80,28.59,817100,28.54039
2016-02-09,27.90,27.90,27.90,27.90,000,27.85158
2016-02-08,27.90,27.90,27.90,27.90,000,27.85158
2016-02-05,27.50,28.39,27.50,27.90,1837100,27.85158
2016-02-04,27.88,27.88,26.41,27.69,2317600,27.64195
2016-02-03,27.44,27.87,26.86,27.41,1064600,27.36243
2016-02-02,28.53,28.53,27.26,27.26,1135300,27.2127
2016-02-01,28.30,28.73,27.85,28.73,1203300,28.68014
2016-01-29,27.14,28.76,27.04,28.76,2594900,28.71009
2016-01-28,28.27,28.27,26.82,26.93,1883300,26.88327
2016-01-27,27.31,28.25,27.09,28.07,1919500,28.02129
2016-01-26,27.44,27.60,26.99,27.34,904600,27.29256
2016-01-25,27.91,27.91,27.91,27.91,000,27.86157
2016-01-22,27.12,27.94,27.00,27.91,1378700,27.86157
2016-01-21,26.77,27.37,26.74,27.09,1485500,27.04299
2016-01-20,27.15,27.15,26.41,26.90,1312500,26.85332
2016-01-19,27.44,27.62,26.95,27.42,1431600,27.37242
2016-01-18,26.80,27.67,26.57,26.92,657500,26.87329
2016-01-15,27.91,28.06,26.39,27.00,2962800,26.95315
2016-01-14,28.25,28.54,27.67,28.11,1382600,28.06122
2016-01-13,29.00,29.31,28.13,28.25,1418800,28.20098
2016-01-12,28.40,29.00,28.13,28.90,1297600,28.84985
2016-01-11,28.30,28.74,28.02,28.26,1126900,28.21096
2016-01-08,28.51,28.66,28.19,28.37,1356400,28.32077
2016-01-07,28.70,29.00,28.02,28.27,2084600,28.22094
2016-01-06,29.02,29.31,28.85,28.90,1237200,28.84985
2016-01-05,29.40,29.67,29.06,29.32,1928200,29.26912
2016-01-04,29.60,29.92,29.09,29.32,1904900,29.26912
2016-01-01,30.19,30.19,30.19,30.19,000,30.13761
2015-12-31,30.19,30.19,30.19,30.19,000,30.13761
2015-12-30,28.84,30.19,28.82,30.19,4668700,30.13761
2015-12-29,28.48,29.17,28.48,29.06,1197900,29.00957
2015-12-28,29.20,29.30,28.63,28.64,897900,28.5903
2015-12-25,29.08,29.08,29.08,29.08,000,29.02954
2015-12-24,29.08,29.08,29.08,29.08,000,29.02954
2015-12-23,29.67,29.67,28.80,29.08,1117700,29.02954
2015-12-22,28.72,29.33,28.30,29.27,1174300,29.21921
2015-12-21,28.55,29.08,28.40,28.62,1403600,28.5304
2015-12-18,28.95,29.24,28.25,28.40,2874800,28.31109
2015-12-17,29.71,29.95,29.08,29.25,1470000,29.15843
2015-12-16,28.90,29.59,28.70,29.47,1552600,29.37774
2015-12-15,29.27,29.86,29.00,29.00,1529500,28.90921
2015-12-14,29.19,29.82,29.01,29.20,1317200,29.10859
2015-12-11,29.53,29.86,29.13,29.40,2369800,29.30796
2015-12-10,29.60,30.23,29.45,29.68,1457300,29.58709
2015-12-09,30.01,30.18,29.25,29.29,2876400,29.19831
2015-12-08,30.12,30.20,29.81,29.92,1539000,29.82633
2015-12-07,30.15,30.67,29.98,30.12,1541000,30.02571
2015-12-04,29.89,30.30,29.60,29.95,1402800,29.85624
2015-12-03,30.21,30.81,30.09,30.09,5009400,29.9958
2015-12-02,29.51,30.14,29.06,30.00,2775900,29.90608
2015-12-01,30.26,30.26,29.51,29.73,2295100,29.63693
2015-11-30,29.00,30.76,28.98,30.40,4493800,30.30483
2015-11-27,29.13,29.48,28.93,29.24,1323400,29.14846
2015-11-26,29.20,29.54,28.59,29.35,1406800,29.25812
2015-11-25,29.25,29.76,28.83,29.36,1745000,29.26809
2015-11-24,29.66,29.85,29.04,29.59,1167400,29.49737
2015-11-23,29.13,29.69,28.93,29.50,3671000,29.40765
2015-11-20,29.15,29.15,29.15,29.15,000,29.05874
2015-11-19,29.00,29.19,28.76,29.15,2017600,29.05874
2015-11-18,29.00,29.00,28.55,28.74,1803800,28.65003
2015-11-17,29.24,29.40,28.53,28.72,1749100,28.63009
